Altium Designer Pick and Place Locations
C:\ADATA\all_work\my_ad\jz_work0.5\Project Outputs for jz_work0.5\Pick Place for jz_dlt0.5.csv

========================================================================================================================
File Design Information:

Date:       02-12-19
Time:       15:56
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"CR12","LC-0805_R","12.5476","60.9854","12.5476","60.9854","12.5476","61.8604","TopLayer","270","1K"
"R25","AXIAL-0.4","38.0746","54.3052","38.0746","54.3052","32.9946","54.3052","TopLayer","360","3.3K"
"R24","AXIAL-0.4","38.0746","47.6123","38.0746","47.6123","32.9946","47.6123","TopLayer","360","3.3K"
"R19","AXIAL-0.4","38.1000","40.9194","38.1000","40.9194","33.0200","40.9194","TopLayer","360","3.3K"
"P14","HDR2X4","23.2410","36.6776","21.9710","40.4876","21.9710","40.4876","TopLayer","270","Header 4X2"
"P11","XH2.54-2","50.9016","50.3669","50.9016","51.6382","50.9016","49.0957","TopLayer","90","Header 2"
"P12","XH2.54-3","53.6448","8.4582","51.1048","8.4582","51.1048","8.4582","TopLayer","360","Header 3"
"P10","XH2.54-2","50.9016","40.7416","50.9016","42.0129","50.9016","39.4703","TopLayer","90","Header 2"
"P9","XH2.54-2","50.9016","31.1163","50.9016","32.3876","50.9016","29.8450","TopLayer","90","Header 2"
"P8","XH2.54-2","28.5991","8.5344","29.8704","8.5344","27.3279","8.5344","TopLayer","360","Header 2"
"Valve4","DUANZI2P","55.1072","109.7788","52.6072","109.7788","57.6072","109.7788","TopLayer","0","端子2P"
"Valve3","DUANZI2P","40.5276","109.7534","38.0276","109.7534","43.0276","109.7534","TopLayer","0","端子2P"
"Valve2","DUANZI2P","25.3130","109.9312","22.8130","109.9312","27.8130","109.9312","TopLayer","0","端子2P"
"Valve1","DUANZI2P","9.7898","110.1090","7.2898","110.1090","12.2898","110.1090","TopLayer","0","端子2P"
"V4","CLED2012-0805","12.5222","54.4982","12.5222","54.4982","12.5222","55.4482","TopLayer","270","LED Chip"
"V3","CLED2012-0805","9.7367","54.4982","9.7367","54.4982","9.7367","55.4482","TopLayer","270","LED Chip"
"V2","CLED2012-0805","6.9511","54.4982","6.9511","54.4982","6.9511","55.4482","TopLayer","270","LED Chip"
"V1","CLED2012-0805","4.1656","54.4982","4.1656","54.4982","4.1656","55.4482","TopLayer","270","LED Chip"
"U10","so6","50.3682","89.7971","49.0982","86.9096","49.0982","86.9096","TopLayer","0","TLP155"
"U8","so6","39.1414","89.7717","37.8714","86.8842","37.8714","86.8842","TopLayer","360","TLP155"
"U7","so6","24.8920","90.0003","23.6220","87.1128","23.6220","87.1128","TopLayer","0","TLP155"
"U6","so6","12.0904","90.0003","10.8204","87.1128","10.8204","87.1128","TopLayer","0","TLP155"
"U5","TS5B_N","8.0010","48.7940","8.0010","47.5190","4.6010","53.5190","BottomLayer","270","LM2596S-5.0"
"U4","BTS7960","51.8414","74.4982","56.0324","74.4982","47.7774","78.3082","TopLayer","270","BTS7960"
"U3","so6","36.1442","77.1733","34.8742","74.2858","34.8742","74.2858","TopLayer","360","TLP155"
"U1","SO-14","38.3032","28.2194","31.9024","33.9598","35.5092","32.0294","TopLayer","360","LM324AD"
"S1","AN88","5.4610","82.9310","5.4610","82.9310","2.6670","85.4710","TopLayer","0","SW DPDT"
"RP3","VR5","17.2720","5.9690","17.2720","5.9690","17.2720","3.4290","TopLayer","90","10K"
"RP2","VR5","10.5029","5.9690","10.5029","5.9690","10.5029","3.4290","TopLayer","90","10K"
"RP1","VR5","3.7338","5.9690","3.7338","5.9690","3.7338","3.4290","TopLayer","90","10K"
"R23","LC-0805_R","53.4670","96.3192","53.4670","96.3192","52.5920","96.3192","TopLayer","0","10K"
"R22","LC-0805_R","58.5470","96.1644","58.5470","96.1644","59.4220","96.1644","TopLayer","180","50"
"R21","LC-0805_R","46.1772","84.1248","46.1772","84.1248","46.1772","83.2498","TopLayer","90","150"
"R20","LC-0805_R","25.0190","81.1924","25.0190","81.1924","25.0190","82.0674","TopLayer","270","10k"
"R18","LC-0805_R","39.3700","96.5708","39.3700","96.5708","38.4950","96.5708","TopLayer","0","10K"
"R17","LC-0805_R","43.8658","96.5962","43.8658","96.5962","44.7408","96.5962","TopLayer","180","50"
"R16","LC-0805_R","43.0530","89.5350","43.0530","89.5350","43.0530","88.6600","TopLayer","90","150"
"R15","LC-0805_R","20.1083","81.1924","20.1083","81.1924","20.1083","82.0674","TopLayer","270","10k"
"R14","LC-0805_R","23.8392","96.5708","23.8392","96.5708","22.9642","96.5708","TopLayer","360","10K"
"R13","LC-0805_R","28.3324","96.5708","28.3324","96.5708","29.2074","96.5708","TopLayer","180","50"
"R12","LC-0805_R","28.9052","89.8652","28.9052","89.8652","28.9052","88.9902","TopLayer","90","150"
"R11","LC-0805_R","16.2560","81.0654","16.2560","81.0654","16.2560","81.9404","TopLayer","270","10k"
"R10","LC-0805_R","7.2390","96.5708","7.2390","96.5708","6.3640","96.5708","TopLayer","0","10K"
"R9","LC-0805_R","12.3698","96.5708","12.3698","96.5708","13.2448","96.5708","TopLayer","180","50"
"R8","LC-0805_R","16.8402","90.0176","16.8402","90.0176","16.8402","90.8926","TopLayer","270","150"
"R7","LC-0805_R","12.5730","81.0654","12.5730","81.0654","12.5730","81.9404","TopLayer","270","10k"
"R6","LC-0805_R","41.7068","76.0476","41.7068","76.0476","40.8318","76.0476","TopLayer","0","3.3K"
"R5","LC-0805_R","41.8846","71.2470","41.8846","71.2470","41.0096","71.2470","TopLayer","0","3.3K"
"R4","LC-0805_R","30.8102","75.9460","30.8102","75.9460","30.8102","75.0710","TopLayer","90","10k"
"R3","LC-0805_R","30.5054","81.2038","30.5054","81.2038","30.5054","82.0788","TopLayer","270","50"
"R2","LC-0805_R","31.0642","71.2470","31.0642","71.2470","30.1892","71.2470","TopLayer","0","150"
"R1","LC-0805_R","36.3982","71.3994","36.3982","71.3994","35.5232","71.3994","TopLayer","0","10k"
"Q4","TO-220AB","55.8038","101.8794","55.8038","101.8794","58.3438","101.8794","TopLayer","180","IRF540N"
"Q3","TO-220AB","40.5130","101.8794","40.5130","101.8794","43.0530","101.8794","TopLayer","180","IRF540N"
"Q2","TO-220AB","25.4762","101.8794","25.4762","101.8794","28.0162","101.8794","TopLayer","180","IRF540N"
"Q1","TO-220AB","9.7536","101.8794","9.7536","101.8794","12.2936","101.8794","TopLayer","180","IRF540N"
"POWER1","DUANZI2P","4.8514","72.0490","4.8514","74.5490","4.8514","69.5490","TopLayer","270","端子2P"
"P7","HDR1X2","26.5938","74.6252","26.5938","75.8952","26.5938","75.8952","TopLayer","270","Header 2"
"P6","HDR2X4","18.5420","74.6252","14.7320","73.3552","14.7320","73.3552","TopLayer","360","Header 4X2"
"P5","XH2.54-3","40.6908","8.3820","38.1508","8.3820","38.1508","8.3820","TopLayer","360","Header 3"
"P4","HDR2X18","58.2676","39.7002","56.9976","61.2902","56.9976","61.2902","TopLayer","270","Header 18X2"
"P3","HDR2X18","37.9476","65.1002","16.3576","63.8302","16.3576","63.8302","TopLayer","360","Header 18X2"
"P2","HDR2X4","23.2410","23.7998","21.9710","27.6098","21.9710","27.6098","TopLayer","270","Header 4X2"
"P1","HDR2X18","17.6276","39.7002","18.8976","18.1102","18.8976","18.1102","TopLayer","90","Header 18X2"
"Motor1","DUANZI2P","56.9722","87.1074","56.9722","89.6074","56.9722","84.6074","TopLayer","270","端子2P"
"L1","SMD-EC-F10","7.3254","30.5054","2.8956","30.5054","2.8956","30.5054","TopLayer","360","Inductor"
"D13","DO-41","48.0568","100.2284","48.0568","100.2284","48.0568","105.4584","TopLayer","270","Diode 1N4001"
"D12","DO-41","32.9692","100.2284","32.9692","100.2284","32.9692","105.4584","TopLayer","270","Diode 1N4001"
"D11","DO-41","17.6022","100.2284","17.6022","100.2284","17.6022","105.4584","TopLayer","270","Diode 1N4001"
"D10","DO-41","2.0828","100.2284","2.0828","100.2284","2.0828","105.4584","TopLayer","270","Diode 1N4001"
"D9","LC-1206","5.9096","24.1046","5.9096","24.1046","7.3996","24.1046","BottomLayer","180","IN5824"
"D3","LC-1206","49.1068","13.4620","49.1068","13.4620","47.6168","13.4620","TopLayer","360","Diode  Zener"
"D2","LC-1206","40.5427","13.4620","40.5427","13.4620","39.0527","13.4620","TopLayer","360","Diode  Zener"
"D1","LC-1206","31.9786","13.4620","31.9786","13.4620","30.4886","13.4620","TopLayer","360","Diode  Zener"
"CR11","LC-0805_R","9.8044","60.9854","9.8044","60.9854","9.8044","61.8604","TopLayer","270","1K"
"CR10","LC-0805_R","6.9934","60.9854","6.9935","60.9854","6.9934","61.8604","TopLayer","270","1K"
"CR9","LC-0805_R","4.1910","60.9346","4.1910","60.9346","4.1910","61.8096","TopLayer","270","1K"
"CR3","LC-0805_R","44.6278","25.6172","44.6278","25.6172","44.6278","24.7422","TopLayer","90","150"
"CR2","LC-0805_R","32.2834","25.5918","32.2834","25.5918","32.2834","24.7168","TopLayer","90","150"
"CR1","LC-0805_R","32.3342","30.4432","32.3342","30.4432","32.3342","31.3182","TopLayer","270","150"
"CC3","LC-0805_C","49.1998","17.1958","49.1998","17.1958","48.3248","17.1958","TopLayer","360","105"
"CC2","LC-0805_C","40.6019","17.1958","40.6019","17.1958","39.7269","17.1958","TopLayer","360","105"
"CC1","LC-0805_C","32.0040","17.1958","32.0040","17.1958","31.1290","17.1958","TopLayer","360","105"
"C12","LC-0805_C","46.7360","89.7382","46.7360","89.7382","46.7360","88.8632","TopLayer","90","0.1uF"
