Altium Designer Pick and Place Locations
C:\ADATA\all_work\my_ad\jz_work1_220227\Project Outputs for jz_drive0227\Pick Place for jz_drive0227.csv

========================================================================================================================
File Design Information:

Date:       03-03-22
Time:       10:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C2","10uF,16V","TopLayer","SMD-EC-F8","50.7238","7.5132","90","Polarized Capacitor (Radial)"
"P3","Header 2X2","TopLayer","HDR2X2","58.6232","3.5052","270","Header, 2-Pin, Dual row"
"R18","10k","TopLayer","0805-1","40.3352","19.8948","90","Resistor"
"R13","150","TopLayer","0805-1","32.8676","14.5796","90","Resistor"
"P2","Header 3","TopLayer","XH2.54-LI-3P","11.9634","15.7972","270","Header, 3-Pin"
"V2","LED Chip","TopLayer","LED_0603G","4.0987","3.3899","270","Typical Chip LED"
"V1","LED Chip","TopLayer","LED_0603G","1.9803","3.3899","270","Typical Chip LED"
"R2","1K","TopLayer","0603-1","4.0983","7.4540","270","Resistor"
"R1","1K","TopLayer","0603-1","1.9796","7.4540","270","Resistor"
"D2","IN5824","TopLayer","LC-1206","58.6740","10.1854","360","Zener Diode"
"U2","TLP155","TopLayer","so6","15.9766","33.0027","0",""
"P1","Header 5","TopLayer","XH2.54-LI-5P","3.9624","18.3896","270","Header, 5-Pin"
"R6","1K","TopLayer","0603-1","12.5730","7.4540","270","Resistor"
"Valve4","端子2P","TopLayer","KF2EDGK5.0-LI-2P","55.7530","52.9336","0",""
"Valve3","端子2P","TopLayer","KF2EDGK5.0-LI-2P","40.5941","52.9336","0",""
"Valve2","端子2P","TopLayer","KF2EDGK5.0-LI-2P","25.4351","52.9336","0",""
"Valve1","","TopLayer","KF2EDGK5.0-LI-2P","10.2762","52.9336","0",""
"V6","LED Chip","TopLayer","LED_0603R","12.5722","3.3899","270","Typical Chip LED"
"V5","LED Chip","TopLayer","LED_0603R","10.4538","3.3899","270","Typical Chip LED"
"V4","LED Chip","TopLayer","LED_0603R","8.3355","3.3899","270","Typical Chip LED"
"V3","LED Chip","TopLayer","LED_0603R","6.2171","3.3899","270","Typical Chip LED"
"U7","TLP155","TopLayer","so6","50.1650","33.0027","0",""
"U6","TLP155","TopLayer","so6","39.1414","33.0027","360",""
"U4","TLP155","TopLayer","so6","27.7622","33.0027","0",""
"U1","LM2596S-5.0","TopLayer","TS5B_N","25.8832","6.0706","180","SIMPLE SWITCHER?Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-263"
"U5","BTS7960","TopLayer","BTS7960","52.1970","19.2024","270",""
"U3","TLP155","TopLayer","so6","36.6268","20.9215","360",""
"R28","10K","TopLayer","LC-0805_R","53.5686","39.4716","0","Resistor"
"R27","50","TopLayer","LC-0805_R","58.3832","39.4716","180","Resistor"
"R26","150","TopLayer","LC-0805_R","46.3042","27.6098","90","Resistor"
"R25","10k","TopLayer","LC-0805_R","26.8415","26.4808","270","Resistor"
"R24","10K","TopLayer","LC-0805_R","39.0144","39.4716","0","Resistor"
"R23","50","TopLayer","LC-0805_R","43.5102","39.4716","180","Resistor"
"R22","150","TopLayer","LC-0805_R","43.3324","32.7660","90","Resistor"
"R21","10k","TopLayer","LC-0805_R","22.7203","26.4808","270","Resistor"
"R17","10K","TopLayer","LC-0805_R","23.9408","39.4716","360","Resistor"
"R15","50","TopLayer","LC-0805_R","28.4340","39.4716","180","Resistor"
"R14","150","TopLayer","LC-0805_R","31.9278","32.7914","90","Resistor"
"R11","10k","TopLayer","LC-0805_R","18.5992","26.4808","270","Resistor"
"R10","10K","TopLayer","LC-0805_R","7.3406","39.4716","0","Resistor"
"R9","50","TopLayer","LC-0805_R","12.4714","39.4716","180","Resistor"
"R8","150","TopLayer","LC-0805_R","20.4216","32.7660","90","Resistor"
"R7","10k","TopLayer","LC-0805_R","14.9098","26.4300","270","Resistor"
"R20","3.3K","TopLayer","LC-0805_R","43.0941","19.9898","90","Resistor"
"R19","3.3K","TopLayer","LC-0805_R","42.0484","15.2400","0","Resistor"
"R16","50","TopLayer","LC-0805_R","31.4198","24.9682","180","Resistor"
"R12","10k","TopLayer","LC-0805_R","36.4490","15.2400","0","Resistor"
"Q4","IRF540N","TopLayer","TO-220AB","55.9054","44.7802","180","HEXFET Power MOSFET"
"Q3","IRF540N","TopLayer","TO-220AB","40.6146","44.7802","180","HEXFET Power MOSFET"
"Q2","IRF540N","TopLayer","TO-220AB","25.5778","44.7802","180","HEXFET Power MOSFET"
"Q1","IRF540N","TopLayer","TO-220AB","9.8552","44.7802","180","HEXFET Power MOSFET"
"POWER1","端子2P","TopLayer","KF2EDGK5.0-LI-2P","5.2324","31.9418","270",""
"Motor1","端子2P","TopLayer","KF2EDGK5.0-LI-2P","57.4040","30.9372","270",""
"L1","Inductor","TopLayer","SMD-EC-F10","39.4462","7.0002","90","Inductor"
"D5","Diode 1N4001","TopLayer","DO-41","48.1584","44.2976","270","1 Amp General Purpose Rectifier"
"D4","Diode 1N4001","TopLayer","DO-41","33.0708","44.2976","270","1 Amp General Purpose Rectifier"
"D3","Diode 1N4001","TopLayer","DO-41","17.7038","44.2976","270","1 Amp General Purpose Rectifier"
"D1","1N4001","TopLayer","DO-41","2.0828","44.2976","270","1 Amp General Purpose Rectifier"
"R5","1K","TopLayer","0603-1","10.4543","7.4540","270","Resistor"
"R4","1K","TopLayer","0603-1","8.3356","7.4540","270","Resistor"
"R3","1K","TopLayer","0603-1","6.2170","7.4540","270","Resistor"
"C8","0.1uF","TopLayer","LC-0805_C","46.3550","32.7660","270","Capacitor"
"C7","0.1uF","TopLayer","LC-0805_C","35.1282","32.8168","270","Capacitor"
"C4","0.1uF","TopLayer","LC-0805_C","23.7744","32.7406","270","Capacitor"
"C3","0.1uF","TopLayer","LC-0805_C","11.9126","32.9184","270","Capacitor"
"C1","10uF,16V","TopLayer","SMD-EC-F10","25.3898","18.0340","180","Polarized Capacitor (Radial)"
"C6","0.1uF","TopLayer","LC-0805_C","36.6776","26.3906","0","Capacitor"
"C5","0.1uF","TopLayer","LC-0805_C","41.9354","25.5016","90","Capacitor"
